trainsize, units, mse, avg_error
64,4,0.2545806669206697,0.41461043152958155
64,8,0.20535659504489384,0.36551801254972816
16,2,0.28505349275373015,0.4565998069010675
16,4,0.3331298261247688,0.3882833570241928
16,8,0.2530318675068351,0.33687224332243204
32,2,0.2322999024046562,0.44878590339794755
32,4,0.23499755231524444,0.43385667679831386
32,8,0.16505087846828764,0.3223894448019564
64,2,0.26152108804094754,0.46753702824935317
64,4,0.24243591968395461,0.4088856508024037
64,8,0.1291096574524912,0.29832538589835167
16,2,0.2366281308247658,0.41650842782109976
16,4,0.21516628591157028,0.3199060717597604
16,8,0.2825726972439452,0.34763174317777157
32,2,0.20657021126098224,0.3637962560169399
32,4,0.32615473387208,0.4585736873559654
32,8,0.2759375757251651,0.3827497963793576
64,2,0.25602334358676093,0.44326419197022915
64,4,0.2125920890847473,0.38443774823099375
64,8,0.2735714435675066,0.42846267204731703
16,2,0.30238284765701867,0.45913320034742355
16,4,0.2142829805140371,0.39466161374002695
16,8,0.42554615104628557,0.5420083403587341
32,2,0.23266747659033915,0.4161869720555842
32,4,0.2257729433100607,0.34695227118209004
32,8,0.31996923874785177,0.4244464519433677
64,2,0.22194624547183653,0.42036540899425745
64,4,0.20145118734385448,0.33729058178141713
64,8,0.23662025997494152,0.3785217688418925
16,2,0.24362790329858702,0.3828408126719296
16,4,0.19520232161621573,0.30264444462955
16,8,0.23716364532262352,0.366504168137908
32,2,0.24176626068886586,0.43244348419830203
32,4,0.279419931511603,0.44840085366740823
32,8,0.1811595363400091,0.26673657447099686
64,2,0.2056136196435543,0.43761282367631793
64,4,0.21617551569910798,0.3497150354087353
64,8,0.1986746885698192,0.4044823441654444
16,2,0.2637549513952747,0.3211440071463585
16,4,0.21933009073405518,0.37839411571621895
16,8,0.370796347351892,0.43024770449846983
32,2,0.20942631887743485,0.38374438136816025
32,4,0.21353529520787382,0.3323730481788516
32,8,0.26894050040426354,0.3849196247756481
64,2,0.2149759781957492,0.4278621175326407
64,4,0.21633075935045126,0.41240538703277707
64,8,0.19734167630792138,0.37822766648605466
16,2,0.21033352115867524,0.2758900923654437
16,4,0.24208821711405853,0.3779106121510267
16,8,0.24212009222958777,0.3471183003857732
32,2,0.24437074245418947,0.34434403851628304
32,4,0.23812085318718043,0.3752792375162244
32,8,0.19157855728004763,0.3096238053403795
64,2,0.22937485823578585,0.44406544836238027
64,4,0.13270657218187504,0.28761711483821273
64,8,0.1958891886342224,0.35164826223626733
16,2,0.19765374595003146,0.270285839214921
16,4,0.26965291480428966,0.40242323465645313
16,8,0.2340545643028337,0.423621348105371
32,2,0.23126518154573872,0.399276209063828
32,4,0.20785276836039562,0.29664326226338744
32,8,0.26899751393050303,0.4085301454178989
64,2,0.20558091551742036,0.37789262225851417
64,4,0.2746716634244857,0.4475819282233715
64,8,0.2086217153783726,0.39594474202021956
16,2,0.3110646322527292,0.5078640771098435
16,4,0.4908946173047054,0.5326018831692636
16,8,0.3296492454668084,0.46657647425308824
32,2,0.19321847498367564,0.3824952160939574
32,4,0.2608360213370066,0.38181220507249236
32,8,0.25503792352733756,0.363029504660517
64,2,0.2551780281335376,0.447138010058552
64,4,0.22040380869256032,0.40587396593764424
64,8,0.18941004685414436,0.3639164404012263
16,2,0.23343935226696955,0.31441091978922486
16,4,0.2989886346997357,0.488463812507689
16,8,0.25479421756477877,0.36498299427330494
32,2,0.20934728780860645,0.3614477152004838
32,4,0.19921981314232196,0.37394524505361915
32,8,0.1990298544035145,0.31808673264458776
64,2,0.20112902268975374,0.38991887774318457
64,4,0.21331441952316613,0.3788322377949953
64,8,0.16978144326518924,0.3784564910456538
16,2,0.3864548507019344,0.5129378964193165
16,4,0.23599490334442333,0.3283371217548847
16,8,0.36264866055225575,0.5551039450801909
32,2,0.25074977437604185,0.4294540211558342
32,4,0.23657876807545142,0.40644420497119427
32,8,0.18054642019460693,0.33648421661928296
64,2,0.25422165153819887,0.4803616851568222
64,4,0.20607301480158507,0.3193688914179802
64,8,0.20242983855159385,0.34788130363449454
16,2,0.23939014772918527,0.4252801542170346
16,4,0.273178636871982,0.3274779166094959
16,8,0.2901680345675453,0.42178643262013793
32,2,0.2530213494002058,0.42898749373853207
32,4,0.22475879321198594,0.36542424047365785
32,8,0.23179475609104389,0.34274220699444413
64,2,0.23754882313503428,0.3591937944293022
64,4,0.22462200012968886,0.3869425277225673
64,8,0.21109748046556445,0.37651424342766404
16,2,0.3302533534245063,0.5169893079437315
16,4,0.3120477481533972,0.39820758951827884
16,8,0.2179500958107274,0.39019624795764685
32,2,0.2313377665335036,0.449150497559458
32,4,0.19730840488706025,0.40709354309365153
32,8,0.27066828462987147,0.35747520672157407
64,2,0.21725182437419058,0.44122368562966585
64,4,0.24895239607924857,0.38398148445412517
64,8,0.18874181042918542,0.3130264566279948
16,2,0.22501202168729856,0.38818623777478933
16,4,0.3223095485689986,0.47097962675616145
16,8,0.27274837310073385,0.44224926829338074
32,2,0.25587962520923185,0.47523279720917344
32,4,0.2257483259563407,0.3216412612237036
32,8,0.21994459735618144,0.383566805627197
64,2,0.227787864908711,0.4187946026213467
64,4,0.184101308301367,0.3799529825337231
64,8,0.17470859378327935,0.3386493092402816
16,2,0.3183755212168857,0.4256839109584689
16,4,0.20774786794284328,0.40868978993967175
16,8,0.2559951652985725,0.3778042676858604
32,2,0.253355497455023,0.4507114505395293
32,4,0.22829955752555223,0.41051348112523556
32,8,0.26304706808404055,0.3461522264406085
64,2,0.19378547005846902,0.4018939430825412
64,4,0.20313806349612115,0.3904804466292262
64,8,0.14279847548553945,0.28625333216041327
16,2,0.22946454650056702,0.38557445257902145
16,4,0.2845309391619452,0.432886840775609
16,8,0.2161919776700938,0.31471225852146745
32,2,0.29740741816831545,0.45004387060180306
32,4,0.18264849822224422,0.34044969687238336
32,8,0.2694596932759022,0.4331618305295706
64,2,0.14191209093815568,0.31950861122459173
64,4,0.2032872066965663,0.3540065730921924
64,8,0.19662232227228818,0.36861539632081985
16,2,0.2724973794652199,0.4554333328269422
16,4,0.31603407998314437,0.3830576576292515
16,8,0.39411447627187707,0.4702006378211081
32,2,0.20543602589365723,0.4235095074400306
32,4,0.2501978778316524,0.37351444037631154
32,8,0.19905814792640486,0.3687503100372851
64,2,0.22816820911120622,0.43535364465788007
64,4,0.2947405092016718,0.45860823104158044
64,8,0.2126824457455681,0.388631337787956
16,2,0.22513058669136848,0.387041715439409
16,4,0.2962261397410445,0.42102458933368325
16,8,0.21151954419019287,0.2889694473706186
32,2,0.26882384105736606,0.4160899603739381
32,4,0.2903232798260711,0.3711214563809335
32,8,0.16747886444077836,0.34929438633844256
64,2,0.2138232488634993,0.43871155194938183
64,4,0.20217012628420386,0.3589569544419646
64,8,0.21777988413702673,0.39119100011885166
