trainsize, units, mse, avg_error
64,8,0.2115899751281919,0.3864049226976931
16,2,0.23816669343003394,0.3837052104063332
16,4,0.28510450375801094,0.42608062364161015
16,8,0.2750303094707681,0.40991991804912686
32,2,0.231456071830597,0.4538311818614602
32,4,0.19954172904230855,0.30977874156087637
32,8,0.21026671563061997,0.3153011007234454
64,2,0.2429160999650603,0.4903174852952361
64,4,0.14996383895988313,0.3211725801229477
64,8,0.1754359537530859,0.34498350275680423
16,2,0.22047363569803335,0.42029125103726983
16,4,0.2441077796893263,0.37642495101317763
16,8,0.2771275348102788,0.40657580737024546
32,2,0.2018599655840469,0.3925891318358481
32,4,0.24869886914895453,0.38424968207255006
32,8,0.20756970452092235,0.38402676302939653
64,2,0.23804982469521258,0.43604615656659007
64,4,0.2710082447110511,0.42561520682647824
64,8,0.26652997449747545,0.4357801848091185
16,2,0.26407265064577345,0.48024433478713036
16,4,0.36307200731625805,0.45485929446294904
16,8,0.29469225271833654,0.3920987816527486
32,2,0.3520647824395282,0.4687225455418229
32,4,0.2743889502587274,0.45212587155401707
32,8,0.23194715097142,0.3106948030181229
64,2,0.21331988582352154,0.43200535885989666
64,4,0.21405125265499542,0.3736048745922744
64,8,0.18350651691798908,0.354602562263608
16,2,0.23343317938764258,0.4124931348487735
16,4,0.26354802829903184,0.4076684773899615
16,8,0.25819165462148974,0.3856281926855445
32,2,0.26452144203018063,0.43072117352858186
32,4,0.2477366861111213,0.3760712528601289
32,8,0.20709502973922272,0.4025876629166305
64,2,0.20832873422990875,0.38602841179817915
64,4,0.2552717767930163,0.4175654840655625
64,8,0.2394386553515627,0.36853580456227064
16,2,0.272266305227848,0.48571736132726073
16,4,0.26402803073164594,0.38366637006402016
16,8,0.3201575722057144,0.404872486833483
32,2,0.20347976058768105,0.4171979259699583
32,4,0.23436547384282874,0.35585382394492626
32,8,0.27146703457320737,0.3682793052867055
64,2,0.1963940672582784,0.41351744206622243
64,4,0.2559254026938083,0.4391658096574247
64,8,0.19033507087903895,0.3614869727753103
16,2,0.24592117643532568,0.42279492504894733
16,4,0.2733309946172761,0.38780145440250635
16,8,0.2810629748993798,0.3581137666478753
32,2,0.21176779861477335,0.4010445917956531
32,4,0.27619756709054777,0.40779136773198843
32,8,0.21116459705845475,0.4120712601579726
64,2,0.24378242390585758,0.40617791656404734
64,4,0.1801310677639369,0.3382606669329107
64,8,0.22397420526670112,0.387638027779758
16,2,0.26104685471821815,0.47101779002696276
16,4,0.2571029417138909,0.3609959459863603
16,8,0.20233844465423312,0.31803305307403207
32,2,0.28516457245322263,0.48711226182058454
32,4,0.1765600172625535,0.25161874992772937
32,8,0.237791089817167,0.3556933952495456
64,2,0.2469953479014173,0.43932156823575497
64,4,0.19594953465205361,0.385124605614692
64,8,0.20611981744991542,0.3993883179500699
16,2,0.2290472404078382,0.35680461023002863
16,4,0.25491779176792406,0.3798983138985932
16,8,0.2884492392113066,0.3869219562038779
32,2,0.24576833238743034,0.4588945438154042
32,4,0.2387290380089958,0.4073592950589955
32,8,0.2267242448061601,0.34864525869488716
64,2,0.19983397251065543,0.40820167725905776
64,4,0.24266797981380622,0.3878281060606241
64,8,0.1934445048969678,0.40196351148188114
16,2,0.28863437615025217,0.4147186982445419
16,4,0.31133692670634,0.43754788022488356
16,8,0.24204649211496562,0.31631901813670993
32,2,0.23443459914582515,0.454971335362643
32,4,0.2126850926025938,0.4016545005142689
32,8,0.260368491481484,0.4183476301841438
64,2,0.23498387935413756,0.44396935030817986
64,4,0.19035681482651767,0.3725004941225052
64,8,0.20683462462860497,0.3770310771651566
16,2,0.26338023985430237,0.4411894422955811
16,4,0.28584073441095526,0.36272767605260015
16,8,0.20922026799296584,0.30093603720888495
32,2,0.2859265923461432,0.4568538353778422
32,4,0.24404194287075387,0.42963044298812747
32,8,0.29723924860529033,0.45409602858126163
